CC 1 (24);1º SEM;SEG;TER;QUA;QUI;SEX;SÁB;;Desdob.;1º SEM;SEG;TER;QUA;QUI;SEX;SÁB;
;2;OPTATIVA II (EE);C - SENSORES E ATUADORES EM CONTROLE DE PROCESSOS (2º SEM.);;;;KAUATI;;;;;;;;;;
;2;OPTATIVA III;ANÁLISE INTELIGENTE DE DADOS (2º SEM.);;;;HUEI;;;;;;;;;;
;2;OPTATIVA III (EE);P - GESTÃO ENERGÉTICA EMPRESARIAL (2º SEM.);;;;LOTERO;;;;;;;;;;
;2;PROC IMAG;PROCESSAMENTO DE IMAGENS DIGITAIS (2º SEM.);;;;FABIANA;;;;;;;;;;
;;REDES (09);REDES (2009);;;;ANDRÉS;;;;;;;;;;
;4;SIST DISTRIB;SISTEMAS DISTRIBUÍDOS;;;;WAGNER;;;;;;;;;;
;2;SIST INFORM;SISTEMAS DE INFORMAÇÃO (1º SEM.);;;;ANDRÉ;;;;;;;;;;
;6;TCC;TRABALHO DE CONCLUSÃO DE CURSO;;;;FABIANA;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
